'original_name'"'hrvatski_naziv'"'liturgical_color'
'Die 3 ianuarii'"'Subota 1. tjedna božićnog vremena'"'white'
'Feria quarta post Epiphaniam'"'Srijeda 1. tjedna božićnog vremena'"'white'
'S. Fidelis a Sigmaringen, presbyteri et martyris'"'Sv. Fidelis iz Sigmaringena, prezbiter i mučenik'"'red'
'S. Marci, evangelistæ'"'Sv. Marko, evanđelist'"'red'
'Dominica quarta Paschæ'"'4. nedjelja uskrsnog vremena'"'white'
'Feria secunda, hebdomada quarta temporis paschalis'"'Ponedjeljak 4. tjedna vazmenog vremena'"'white'
'S. Petri Chanel, presbyteri et martyris'"'Sv. Petar Chanel, prezbiter i mučenik'"'red'
'In Ascensione Domini'"'Uzašašće Gospodinovo'"'white'
'S. Catharinæ Senensis, virginis et Ecclesiæ doctoris, patronæ secundariæ Europæ'"'Sv. Katarina Sijenska, djevica i crkvena naučiteljica, suzaštitnica Europe'"'white'
'S. Pii V, papæ'"'Sv. Pio V, papa'"'white'
'S. Iosephi opificis'"'Sveti Josip Radnik'"'white'
'S. Athanasii, episcopi et Ecclesiæ doctoris'"'Sv. Atanazije, biskup i crkveni učitelj'"'white'
'Dominica quinta Paschæ'"'5. nedjelja uskrsnog vremena'"'white'
'Feria secunda, hebdomada quinta temporis paschalis'"'Ponedjeljak 5. tjedna vazmenog vremena'"'white'
'Feria tertia, hebdomada quinta temporis paschalis'"'Utorak 5. tjedna vazmenog vremena'"'white'
'Feria quarta, hebdomada quinta temporis paschalis'"'Srijeda 5. tjedna vazmenog vremena'"'white'
'Feria quinta, hebdomada quinta temporis paschalis'"'Četvrtak 5. tjedna vazmenog vremena'"'white'
'Feria sexta, hebdomada quinta temporis paschalis'"'Petak 5. tjedna vazmenog vremena'"'white'
'Sabbato, hebdomada quinta temporis paschalis'"'Subota 5. tjedna vazmenog vremena'"'white'
'Dominica sexta Paschæ'"'6. nedjelja uskrsnog vremena'"'white'
'Feria secunda, hebdomada sexta temporis paschalis'"'Ponedjeljak 6. tjedna vazmenog vremena'"'white'
'S. Leopoldi Mandić, presbyteri'"'Sv. Leopold Mandić, prezbiter'"'white'
'B. Mariæ Virginis de Fatima'"'Gospa Fatimska'"'white'
'Feria sexta, hebdomada sexta temporis paschalis'"'Petak 6. tjedna vazmenog vremena'"'white'
'Sabbato, hebdomada sexta temporis paschalis'"'Subota 6. tjedna vazmenog vremena'"'white'
'Dominica septima Paschæ'"'7. nedjelja uskrsnog vremena'"'white'
'S. Ioannis I, papæ et martyris'"'Sv. Ivan I, papa i mučenik'"'red'
'Feria tertia, hebdomada septima temporis paschalis'"'Utorak 7. tjedna vazmenog vremena'"'white'
'S. Bernardini Senensis, presbyteri'"'Sv. Bernardin Sijenski, prezbiter'"'white'
'Ss. Christophori Magallanes, presbyteri, et sociorum, martyrum'"'Sv. Kristofor Magallanes, prezbiter, i drugovi, mučenici'"'red'
'S. Ritæ de Cascia, religiosæ'"'Sv. Rita iz Cascije, redovnica'"'white'
'Sabbato, hebdomada septima temporis paschalis'"'Subota 7. tjedna vazmenog vremena'"'white'
'Dominica Pentecostes'"'Duhovi — Pedesetnica'"'red'
'B. Mariæ Virginis Ecclesiæ Matris'"'Blažene Djevice Marije, Majke Crkve'"'white'
'S. Philippi Neri, presbyteri'"'Sv. Filip Neri, prezbiter'"'white'
'S. Augustini Cantuariensis, episcopi'"'Sv. Augustin Canterburyjski, biskup'"'white'
'Feria quinta, hebdomada octava per annum'"'Četvrtak 8. tjedna vremena kroz godinu'"'green'
'S. Pauli VI, papæ'"'Sv. Pavao VI, pape'"'white'
'Sabbato, hebdomada octava per annum'"'Subota 8. tjedna vremena kroz godinu'"'green'
'Ss.mæ Trinitatis'"'Presveto Trojstvo'"'white'
'S. Iustini, martyris'"'Sv. Justin, mučenik'"'red'
'Ss. Marcellini et Petri, martyrum'"'Sv. Marcelin i Petar, mučenici'"'red'
'Ss. Caroli Lwanga et sociorum, martyrum'"'Sv. Karlo Lwanga i drugovi, mučenici'"'red'
'Ss.mi Corporis et Sanguinis Christi'"'Presveto Tijelo i Krv Kristova'"'white'
'S. Bonifatii, episcopi et martyris'"'Sv. Bonifacije, biskup i mučenik'"'red'
'S. Norberti, episcopi'"'Sv. Norbert, biskup'"'white'
'Dominica decima per annum'"'10. nedjelja kroz godinu'"'green'
'Feria secunda, hebdomada decima per annum'"'Ponedjeljak 10. tjedna vremena kroz godinu'"'green'
'S. Ephræm, diaconi et Ecclesiæ doctoris'"'Sv. Efrem Sirijski, đakon i crkveni naučitelj'"'white'
'Feria quarta, hebdomada decima per annum'"'Srijeda 10. tjedna vremena kroz godinu'"'green'
'S. Barnabæ, apostoli'"'Sv. Barnaba, apostol'"'red'
'Sacratissimi Cordis Iesu'"'Petak 10. tjedna vremena kroz godinu'"'white'
'S. Antonii de Padova, presbyteri et Ecclesiæ doctoris'"'Sv. Antun Padovanski, prezbiter i crkveni naučitelj'"'white'
'Dominica undecima per annum'"'11. nedjelja kroz godinu'"'green'
'Feria secunda, hebdomada undecima per annum'"'Ponedjeljak 11. tjedna vremena kroz godinu'"'green'
'Feria tertia, hebdomada undecima per annum'"'Utorak 11. tjedna vremena kroz godinu'"'green'
'Feria quarta, hebdomada undecima per annum'"'Srijeda 11. tjedna vremena kroz godinu'"'green'
'Feria quinta, hebdomada undecima per annum'"'Četvrtak 11. tjedna vremena kroz godinu'"'green'
'S. Romualdi, abbatis'"'Sv. Romuald, opat'"'white'
